Solution,Power,Latency,Cost
0,508.14076204637274,342.36766241270277,478.9019490436624
1,460.77918651446544,363.99451573802844,488.33034593876687
2,483.4346129958492,330.6760898474947,500.3343046463093
3,511.5937581830785,337.9007865875423,470.5206976433587
4,489.62619742755817,352.510952991471,474.68791638098844
5,497.5704152564526,421.4973167501014,460.56113630365627
6,578.6959900785446,336.00708248556606,467.7181528599186
7,462.02774494717744,395.6448758161493,460.9879462678522
8,625.9721409753887,267.1030511793523,502.9926168218943
9,473.3424322341841,319.75610416181956,511.9230821783673
10,473.3456702605365,337.95878048473446,497.09376233503383
11,574.4540219835714,272.01960487390727,495.387867682106
12,474.7483648448161,368.3676326368086,481.5474595869638
13,472.5942589339312,352.72390319203737,481.9303960929841
14,525.3146629166696,322.3857383582951,479.53168715851854
15,498.81767007403204,328.30059939197633,481.51753673946894
16,467.2903123761281,354.505545283756,490.87268260167303
17,441.0155976164936,382.04187373596505,485.1327864257795
18,487.7270711599616,376.29846660408396,477.28248709849174
19,532.4222257972054,302.3433484491168,506.326951117024
20,559.3319321858244,275.9858030001027,491.2613279283821
21,543.1917522959077,318.5611446100654,488.87533319947727
22,527.7095305874269,334.9061127610625,474.0310594124092
23,445.78776322568825,365.21110181376736,492.2267035376522
24,494.66511630671073,321.8860776685917,484.60014546637285
25,564.1381558883818,332.98156653465077,468.7984837435341
26,460.77918651446544,363.99451573802844,488.33034593876687
27,496.3385316982656,358.45007537649514,465.2868777831665
28,531.537973119622,291.26187096964844,509.513375661698
29,578.6959900785446,336.00708248556606,467.7181528599186
30,499.2166132460524,343.5748730824592,462.1795304718765
31,448.1803256970425,363.15783528192986,494.1542468409199
32,599.772723058726,318.40660656651403,486.57562823797224
33,511.90353094356885,321.4625341007007,479.60797754760273
34,575.0260345183217,275.65573450827867,492.2321429459603
35,547.5925077068939,350.29861435572576,461.71483773104825
36,564.5458126363153,328.48444838887497,476.6157663347577
37,527.0896947990703,314.12870687709346,499.48477833143727
38,477.0105887446361,345.0563482573761,495.21185872967135
39,587.9160075542072,318.5803118297012,475.91322308922855
40,470.93477964944344,334.09991764792875,497.4866155558527
41,579.645025891355,323.9631711113514,479.0508511361975
42,488.8838042715769,346.9581163415592,490.0936118159705
43,442.58949168160433,371.710138331471,505.66317411956334
44,509.57517181482325,325.3275446419881,482.64377523754166
45,490.1950167193372,349.26690277344534,486.6710798946026
