Solution,Power,Latency,Cost
0,705.0348882671778,371.5027300193833,589.1582181089112
1,452.10633642398767,49007.894099450394,536.7858112866458
2,633.2102846316681,17309.38041639807,518.081040751512
3,249.1171451022073,257088.31099174722,488.09823492543495
4,978.2678443895159,9141.305768641952,522.5921681846019
5,457.11467550660643,415.0349579061905,544.0732316795122
6,445.3890885056781,84783.59688162948,484.5253432914875
7,812.9825125677447,401.2163821539324,537.2846506864206
8,305.50368776148565,108960.80521853652,468.8865073320253
9,785.49135511717,532.2660661788733,530.1087468849066
10,383.0932674057212,442889.21921123116,431.94083146961844
11,276.00524334641693,212226.83129873459,484.4371612312773
12,982.835050366071,406.6127165077384,503.37246929972105
13,961.1577900777905,435.7010444656978,531.7751945474581
14,469.0158925327958,1570.5293124496247,522.8968180609244
15,251.7778174153246,329419.84481817536,483.2343502558386
16,296.45404275102203,388216.86667118134,443.76734704161544
17,528.6862284260887,20684.67726271327,503.059967231295
18,710.2472306831564,390.9652281335983,556.8682663116335
