Solution,Power,Latency,Cost
0,261.6261877672787,1177164.3744877088,282.9874406268051
1,225.4447997596208,2594890.409043539,279.39764656183263
2,664.4385729622554,237510.51925132744,504.9571879999378
3,898.2081753183578,524.1869047593859,587.287708552294
4,678.9149204177862,95186.29694000725,618.9334156459373
5,642.8227031806616,534.9841047955618,798.9819797848407
6,862.5182099050343,473.3372220664244,742.8290256965745
7,520.8650252026171,9808.440675242915,747.0145574445205
8,1022.4402804826652,395.32853055180124,711.2057752656639
9,489.7241938166271,61921.81825298689,682.4120629540365
10,838.2087626422586,1740.9572741587763,717.2003868575151
11,676.8289826306766,15425.138091129353,716.2582617514338
12,217.11972339234347,3519740.205079681,285.254579937896
13,346.00358348044733,1261406.425478505,280.37478023328424
14,727.0780620167619,208382.31105484653,581.9042171495931
15,258.65311310545655,1613601.5236977374,282.04284121796593
16,420.1427932894579,622819.5244771253,274.91410727276184
17,642.4448224378722,301538.9809615094,555.695328987681
18,208.44431090103788,4661155.3934405055,290.3949261444074
19,346.54339077239774,927080.943824496,279.1234835189825
20,535.1778534418706,194169.10962580907,650.7585090341813
21,567.3773968675883,622604.5419857933,490.1208400218358
22,386.0250095136893,237578.81908749114,677.9271541286378
23,434.8979705228071,563167.8745181919,556.5732867230315
24,287.37016096422883,1596709.5530695452,282.8534780442298
25,361.483612884732,785352.5840110582,556.0413367418228
26,337.4085053157512,1877927.2893908378,281.78424597429733
27,344.419024140721,617314.1462107381,593.665666835755
28,676.5590808915786,59002.069273411864,681.9735748489214
29,495.9271272242999,219071.74833939658,630.4559546513958
30,387.6633538681918,352780.6137671375,600.9697215262055
31,252.43952124735873,2984823.8355003158,274.87694854654785
32,343.30773594182375,529842.9823361604,642.2436269204437
33,372.5615259291146,325110.3442269017,606.7528005735784
34,264.6891266888146,2028355.7241249103,280.1098647935363
35,263.6882083655736,2041260.2375797734,281.35936078919366
36,427.8118992350991,254237.5331918588,647.4122423160554
37,567.7822081112104,351836.36079866777,572.9845780745071
38,342.3940295250912,415494.8298467603,660.1924550359057
39,388.8852120077019,562909.1701094966,598.365992281641
40,244.13144810375834,2614160.8534721714,276.7830410046065
41,348.5247660944488,612118.4117295038,611.5301252778065
42,858.1964759101648,12753.210857505177,681.2052851079393
43,446.8563567881702,105089.05272896451,734.5263061896833
44,261.10304986704523,1333567.8395159917,287.72674901717915
45,307.95788217566246,1002345.1071404306,287.411887947794
46,429.042409556279,206166.1019857475,681.8715911203234
47,510.3103479044107,316145.12667403906,628.5255577412321
48,386.16801087280976,1332213.2724593894,278.58393983143856
