Solution,Power,Latency,Cost
0,456.72316889130826,516980.0745408947,272.28212357543003
1,456.72316889130826,516980.0745408947,272.28212357543003
2,456.72316889130826,516980.0745408947,272.28212357543003
3,456.72316889130826,516980.0745408947,272.28212357543003
4,456.72316889130826,516980.0745408947,272.28212357543003
5,456.72316889130826,516980.0745408947,272.28212357543003
6,456.72316889130826,516980.0745408947,272.28212357543003
7,456.72316889130826,516980.0745408947,272.28212357543003
8,456.72316889130826,516980.0745408947,272.28212357543003
9,456.72316889130826,516980.0745408947,272.28212357543003
10,456.72316889130826,516980.0745408947,272.28212357543003
11,456.72316889130826,516980.0745408947,272.28212357543003
12,603.336823783441,151167.52198497474,646.1518172218352
13,227.97824599417416,2110939.6893684533,270.15595259419393
14,456.72316889130826,516980.0745408947,272.28212357543003
15,456.72316889130826,516980.0745408947,272.28212357543003
16,456.72316889130826,516980.0745408947,272.28212357543003
17,592.3152503356553,148463.31065814345,660.9101919687718
18,365.77938189296304,542753.2148147059,610.71234538587
19,456.72316889130826,516980.0745408947,272.28212357543003
20,456.72316889130826,516980.0745408947,272.28212357543003
21,456.72316889130826,516980.0745408947,272.28212357543003
22,456.72316889130826,516980.0745408947,272.28212357543003
23,456.72316889130826,516980.0745408947,272.28212357543003
24,410.64594120111025,637469.1111305254,274.947091560912
25,456.72316889130826,516980.0745408947,272.28212357543003
26,456.72316889130826,516980.0745408947,272.28212357543003
27,347.07096841505484,554342.748918868,627.3605139068275
28,456.72316889130826,516980.0745408947,272.28212357543003
29,456.72316889130826,516980.0745408947,272.28212357543003
30,456.72316889130826,516980.0745408947,272.28212357543003
31,456.72316889130826,516980.0745408947,272.28212357543003
32,363.2583414829503,318030.42852945835,683.2017873471324
33,456.72316889130826,516980.0745408947,272.28212357543003
34,456.72316889130826,516980.0745408947,272.28212357543003
35,354.0116270114325,460421.82443591405,626.5172016753522
36,383.0493917865643,311562.5852444862,658.7289241636975
37,456.72316889130826,516980.0745408947,272.28212357543003
38,456.72316889130826,516980.0745408947,272.28212357543003
39,456.72316889130826,516980.0745408947,272.28212357543003
40,456.72316889130826,516980.0745408947,272.28212357543003
41,456.72316889130826,516980.0745408947,272.28212357543003
42,456.72316889130826,516980.0745408947,272.28212357543003
43,456.72316889130826,516980.0745408947,272.28212357543003
44,456.72316889130826,516980.0745408947,272.28212357543003
45,456.72316889130826,516980.0745408947,272.28212357543003
46,456.72316889130826,516980.0745408947,272.28212357543003
47,456.72316889130826,516980.0745408947,272.28212357543003
48,456.72316889130826,516980.0745408947,272.28212357543003
49,250.90472405103247,2893497.8784527914,261.89572006533194
