Solution,Power,Latency,Cost
0,492.1601148669935,577297.0543664815,742.3460804084419
1,602.9728073293061,204713.19390875683,756.878815873285
2,637.589196500792,350840.3335858755,732.5934541763417
3,595.0548190722193,325395.1122964078,749.8667604483679
4,683.179755664906,273228.8728922411,743.7283806155586
5,621.2403488660548,224091.85214722125,745.2777203862491
6,607.334463839577,318515.91317779676,744.1756987577706
7,620.449395392956,533053.0501825048,734.2561851922127
8,553.9052641170364,425521.085944877,752.9590241604942
9,628.9395293604427,502364.49521406967,743.9309214127782
10,553.5823739617574,482872.02171991207,746.8741248128648
11,654.3150801397629,195094.53209534596,755.2102942844647
12,576.7591424603474,216703.7783708,764.6560329237195
