Solution,Power,Latency,Cost
0,1138.2594901905895,309.9249907090585,912.1468500711375
1,1138.2594901905895,309.9249907090585,912.1468500711375
2,1116.1176072740611,312.25197540585043,915.8501910110333
3,1159.7387491710738,306.56590402121617,895.4312254745938
4,1109.9772807791949,313.98928849013447,903.9324292085254
5,1178.669800742637,301.00755304554235,904.9837711222632
6,1197.3210806961017,301.695158918209,897.1125583076714
7,1119.3589185163646,308.65371361008357,913.4178014035662
8,1249.3736242724838,304.68229398924564,890.6840347088024
9,1129.433383293589,310.9215012965698,911.4525959950776
10,1178.9639577638115,304.98500459833394,886.5739078762165
11,1095.6958741014812,322.7219445012445,909.0052346546541
12,1138.5630444217718,302.8005308674482,915.2318060240576
13,1172.6227859588303,305.97339723584787,900.2957365845878
14,1188.0987860261469,296.10343716091654,905.4834908079549
15,1152.156608166299,293.8796482242133,906.4300844720738
16,1121.636407295581,311.33794168362346,896.8637589190052
17,1180.5504947696775,297.43468501051996,899.337052130048
18,1112.5745570077115,313.0950809116994,909.8416402030791
19,1177.6710483012719,306.0668609477063,895.6733466981073
