Solution,Power,Latency,Cost
0,1395.9878342137067,442.90389574348984,1144.1622315277411
1,1441.0208227450726,441.16850383438714,1135.5693359910415
2,1493.2714654758406,441.42034291976046,1127.2437850888102
3,1458.7239160220174,432.0983650218846,1133.0135284212392
4,1367.859512974557,452.6307299826099,1148.4951710127957
5,1338.3071918104858,493.34741382473567,1157.6189840302666
6,1357.9559304343754,476.38813444268294,1151.0829098956656
7,1376.7898380818306,495.1805486277329,1145.6237551789297
8,1391.3650566208814,448.0627451345796,1144.2084584550664
9,1347.3354050033176,467.017369143622,1151.557507435713
10,1363.5833854596692,459.1444290701036,1161.8834637529858
11,1409.0461974992788,440.0441903796566,1138.5609736260712
12,1515.62427032837,449.97017390751574,1125.372654062309
13,1363.9462567925693,451.47533415321544,1163.6766956139918
14,1387.241201481589,478.39863947816775,1145.5238570062477
15,1367.859512974557,452.6307299826099,1148.4951710127957
16,1401.4337184437943,447.70674269240584,1141.2482946578775
17,1466.7159546946564,442.3216757636777,1129.3304267851381
18,1417.215991931165,452.6895491833122,1136.1495428550409
19,1391.2968310038589,437.97574279568505,1150.2707025401126
20,1443.3935908733033,437.9077510451091,1151.7804495172563
21,1396.1197277216845,470.2259545373305,1141.3902956121942
22,1441.9345583590462,439.7806672205529,1133.8654958999284
23,1416.2198372331593,441.9349767192387,1136.246534697689
24,1390.164924460914,448.76361036796845,1146.965960028853
