Solution,Power,Latency,Cost
0,1936.6238709269828,446.11257032246465,1271.0156544662943
1,1936.6238709269828,446.11257032246465,1271.0156544662943
2,1750.8013306530454,459.86436237914614,1287.8757666773809
3,1817.783108728527,443.95591050927305,1290.905423646662
4,1879.7465197212337,455.1357257538435,1280.5409638525434
5,1773.69217556124,452.2712672930042,1300.7824654717415
6,1921.7472047425854,426.7960147013419,1284.9569953496884
7,1881.917022931894,435.596788144936,1290.3369773162226
8,1862.232551353434,443.38530083265624,1284.778115636816
9,1974.022013006063,435.4070770936522,1280.3380741477013
10,1890.4598188347886,430.41632351195483,1285.1120745477333
11,1769.7464739416012,457.2933521520276,1282.901894612299
12,1844.272123510894,436.6035529058941,1288.9596267027632
13,1925.3791992531794,454.6822112101254,1275.6949464087886
14,1758.4394812309326,466.98882695169834,1269.2982000197178
15,1942.440081457285,423.94247454178463,1308.8429591163524
