Solution,Power,Latency,Cost
0,1427.8401078142888,505785.5808520212,1292.807581557345
1,2094.960511875986,76693.21012709253,1458.222726417285
2,1336.3536989415493,596922.3502240923,1295.5216204432038
3,1782.444955801128,313391.4949721571,1294.5529909818915
4,2736.8936465611287,592.4393105120114,1781.5183829578918
5,3086.042558183427,445.1655376095942,1886.3128656172898
6,2084.4926963714856,152271.70454033848,1430.7847676805688
7,2590.069589772728,825.5651913652315,1680.3063251215783
8,2375.4612261436964,838.481897859617,1675.9124728165066
9,2312.6924061283808,86261.90014746803,1444.5909359686561
10,2651.5059868273115,758.9803165086518,1689.0898184685232
11,3233.389584744866,464.068190286288,1876.0922705815608
12,3257.4562441185294,490.20200899443677,1849.27165692505
13,2766.7111938946123,416.6234543361688,1900.016461201351
14,2324.3411084418653,766.283359197844,1693.2587559791089
15,2548.6761328986645,1111.0711004315367,1463.3818839574108
16,2913.8892320219707,1022.9502183617836,1613.860192751532
17,2742.8726733169374,569.3846302899068,1658.7963318562515
18,2532.9718690356804,1090.10947843447,1503.0673927872947
19,3268.8938147390713,455.2311394437802,1883.4274607034413
20,2540.7435629965867,856.0648942836935,1674.2049609430421
21,2450.570155653505,182416.92359356376,1416.610446749904
22,2455.548314775549,15247.578267069446,1514.849033910185
23,2918.165920259486,531.2949805463936,1801.9801609980707
24,2418.9792959830143,65993.04873743643,1548.5042440851057
