Solution,Power,Latency,Cost
0,104.80487531505621,72.72772846925227,210.2366858115014
1,188.95915685638764,42.82349862779643,261.3384060675933
2,135.00139428508945,54.74525862441412,193.659962679739
3,127.17966080071133,71.71350708497697,215.10795177519336
4,228.01540578110345,53.03040577011722,178.0710181810475
5,132.1483919035791,297049.0016664475,105.42460055645456
6,183.40080313679798,95.66766077809848,170.59476442089033
7,177.63176940099407,129.55115202716007,171.24215409131835
8,228.01540578110345,53.03040577011722,178.0710181810475
9,228.01540578110345,53.03040577011722,178.0710181810475
10,158.73993739870645,63.96471061827136,185.44147447782825
11,195.2050681094811,72.78120779909895,160.52433288044216
12,131.33806879266325,63.31639830158453,195.84745773010124
13,218.20452728666572,43.27059572666698,260.57287028801534
