Solution,Power,Latency,Cost
0,692.3006807833615,8179892.1759825265,746.5902524433784
1,1176.6232977240559,12866155.423240958,727.6766323583635
2,1294.5004529484622,3733035.2669142317,713.3767815401633
3,1434.580363480146,454.4087005385242,877.3976382522986
4,1920.0623696059852,407.4238046769777,2466.798483545282
5,623.1826401087493,13438982.645095916,706.644580143775
6,925.0209324929821,6235550.74101343,733.419045396484
7,763.1466860240284,7497497.153547821,741.9959434908934
8,761.3692478948412,12980344.174563149,740.7024225926918
9,687.2746609057073,21453086.433881626,695.9477845607823
10,1291.4538848136242,3750449.7614360657,713.4475746289313
11,751.0821418818856,10404984.749422114,744.0360715224707
12,1277.499586434218,5639847.691202181,716.4445712326169
13,1917.9987867503637,433.66370918621976,2470.218685288143
